x,y,z
0.0,0.0,0.0
0.1,0.0,0.3090169943749474
0.2,0.0,0.5877852522924731
0.30000000000000004,0.0,0.8090169943749475
0.4,0.0,0.9510565162951535
0.5,0.0,1.0
0.6000000000000001,0.0,0.9510565162951535
0.7000000000000001,0.0,0.8090169943749475
0.8,0.0,0.5877852522924732
0.9,0.0,0.3090169943749475
1.0,0.0,1.2246467991473532e-16
0.0,0.1,0.0
0.1,0.1,0.24851952146010414
0.2,0.1,0.4727122206223704
0.30000000000000004,0.1,0.6506325540504108
0.4,0.1,0.7648644398644344
0.5,0.1,0.8042260651806141
0.6000000000000001,0.1,0.7648644398644344
0.7000000000000001,0.1,0.6506325540504112
0.8,0.1,0.47271222062237017
0.9,0.1,0.24851952146010414
1.0,0.1,0.0
0.0,0.2,0.0
0.1,0.2,0.09071475935390932
0.2,0.2,0.1725497260153641
0.30000000000000004,0.2,0.23749432326980724
0.4,0.2,0.2791913214423395
0.5,0.2,0.2935591278317906
0.6000000000000001,0.2,0.27919132144234127
0.7000000000000001,0.2,0.2374943232698037
0.8,0.2,0.1725497260153671
0.9,0.2,0.09071475935390833
1.0,0.2,0.0
0.0,0.30000000000000004,0.0
0.1,0.30000000000000004,-0.10260917352210364
0.2,0.30000000000000004,-0.19517424621968882
0.30000000000000004,0.30000000000000004,-0.2686343038384398
0.4,0.30000000000000004,-0.31579856411207996
0.5,0.30000000000000004,-0.33205026063263476
0.6000000000000001,0.30000000000000004,-0.31579856411210483
0.7000000000000001,0.30000000000000004,-0.2686343038383998
0.8,0.30000000000000004,-0.1951742462197248
0.9,0.30000000000000004,-0.10260917352208565
1.0,0.30000000000000004,0.0
0.0,0.4,0.0
0.1,0.4,-0.2557567031000428
0.2,0.4,-0.48647815813940487
0.30000000000000004,0.4,-0.6695797415662437
0.4,0.4,-0.7871381946541579
0.5,0.4,-0.8276460769327212
0.6000000000000001,0.4,-0.7871381946538506
0.7000000000000001,0.4,-0.6695797415667233
0.8,0.4,-0.4864781581389602
0.9,0.4,-0.2557567031002936
1.0,0.4,0.0
0.0,0.5,0.0
0.1,0.5,-0.30876324043525905
0.2,0.5,-0.5873025836090275
0.30000000000000004,0.5,-0.8083526579383498
0.4,0.5,-0.9502755419588318
0.5,0.5,-0.9991788350030721
0.6000000000000001,0.5,-0.9502755419625692
0.7000000000000001,0.5,-0.8083526579325038
0.8,0.5,-0.5873025836145813
0.9,0.5,-0.3087632404319939
1.0,0.5,0.0
0.0,0.6000000000000001,0.0
0.1,0.6000000000000001,-0.2408741887245131
0.2,0.6000000000000001,-0.45816993370086556
0.30000000000000004,0.6000000000000001,-0.6306168130750951
0.4,0.6000000000000001,-0.7413345253585394
0.5,0.6000000000000001,-0.7794852487344501
0.6000000000000001,0.6000000000000001,-0.741334525313038
0.7000000000000001,0.6000000000000001,-0.6306168131468564
0.8,0.6000000000000001,-0.458169933631542
0.9,0.6000000000000001,-0.24087418876606842
1.0,0.6000000000000001,0.0
0.0,0.7000000000000001,0.0
0.1,0.7000000000000001,-0.07867136202112468
0.2,0.7000000000000001,-0.14964182138421211
0.30000000000000004,0.7000000000000001,-0.20596429984869902
0.4,0.7000000000000001,-0.242125553128113
0.5,0.7000000000000001,-0.25458587527653664
0.6000000000000001,0.7000000000000001,-0.2421255536844289
0.7000000000000001,0.7000000000000001,-0.20596429896467816
0.8,0.7000000000000001,-0.1496418222478657
0.9,0.7000000000000001,-0.07867136149776355
1.0,0.7000000000000001,0.0
0.0,0.8,0.0
0.1,0.8,0.11433507531441273
0.2,0.8,0.21747821452684346
0.30000000000000004,0.8,0.2993331141179887
0.4,0.8,0.3518871436262748
0.5,0.8,0.36999607314350236
0.6000000000000001,0.8,0.35188715045475216
0.7000000000000001,0.8,0.2993331032057469
0.8,0.8,0.21747822526896943
0.9,0.8,0.11433506876118688
1.0,0.8,0.0
0.0,0.9,0.0
0.1,0.9,0.26257376824202217
0.2,0.9,0.499445291952757
0.30000000000000004,0.9,0.68742704775324
0.4,0.9,0.8081194404164285
0.5,0.9,0.8497066127396304
0.6000000000000001,0.9,0.8081193563529132
0.7000000000000001,0.9,0.6874271826250831
0.8,0.9,0.4994451585017843
0.9,0.9,0.26257385000652
1.0,0.9,0.0
0.0,1.0,0.0
0.1,1.0,0.3080034830444823
0.2,1.0,0.5858532977376634
0.30000000000000004,1.0,0.806363528839313
0.4,1.0,0.9479308558466358
0.5,1.0,0.9967194374960817
0.6000000000000001,1.0,0.9479318928866222
0.7000000000000001,1.0,0.8063618604625447
0.8,1.0,0.5858549542467372
0.9,1.0,0.3080024652068302
1.0,1.0,0.0
